都道府県,市町村数,市,町,村,区,総面積,千分比
北海道,179,35,129,15,10,83423.87,220.7
青森,40,10,22,8,0,9645.95,25.5
岩手,33,14,15,4,0,15275.01,40.4
宮城,35,14,20,1,5,7282.29,19.3
秋田,25,13,9,3,0,11637.52,30.8
山形,35,13,19,3,0,9323.15,24.7
福島,59,13,31,15,0,13784.14,36.5
茨城,44,32,10,2,0,6097.54,16.1
栃木,25,14,11,0,0,6408.09,17.0
群馬,35,12,15,8,0,6362.28,16.8
埼玉,63,40,22,1,10,3797.75,10.0
千葉,54,37,16,1,6,5156.74,13.6
東京,39,26,5,8,23,2194.05,5.8
神奈川,33,19,13,1,28,2416.32,6.4
新潟,30,20,6,4,8,12583.96,33.3
富山,15,10,4,1,0,4247.54,11.2
石川,19,11,8,0,0,4186.23,11.1
福井,17,9,8,0,0,4190.58,11.1
山梨,27,13,8,6,0,4465.27,11.8
長野,77,19,23,35,0,13561.56,35.9
岐阜,42,21,19,2,0,10621.29,28.1
静岡,35,23,12,0,10,7777.02,20.6
愛知,54,38,14,2,16,5173.23,13.7
三重,29,14,15,0,0,5774.48,15.3
滋賀,19,13,6,0,0,4017.38,10.6
京都,26,15,10,1,11,4612.20,12.2
大阪,43,33,9,1,31,1905.34,5.0
兵庫,41,29,12,0,9,8400.94,22.2
奈良,39,12,15,12,0,3690.94,9.8
和歌山,30,9,20,1,0,4724.68,12.5
鳥取,19,4,14,1,0,3507.13,9.3
島根,19,8,10,1,0,6707.86,17.7
岡山,27,15,10,2,4,7114.77,18.8
広島,23,14,9,0,8,8479.23,22.4
山口,19,13,6,0,0,6112.50,16.2
徳島,24,8,15,1,0,4146.99,11.0
香川,17,8,9,0,0,1876.91,5.0
愛媛,20,11,9,0,0,5675.98,15.0
高知,34,11,17,6,0,7102.91,18.8
福岡,60,29,29,2,14,4987.64,13.2
佐賀,20,10,10,0,0,2440.67,6.5
長崎,21,13,8,0,0,4130.99,10.9
熊本,45,14,23,8,5,7409.12,19.6
大分,18,14,3,1,0,6340.70,16.8
宮崎,26,9,14,3,0,7734.24,20.5
鹿児島,43,19,20,4,0,9186.33,24.3
沖縄,41,11,11,19,0,2282.15,6.0
