都道府県,総数,0歳から14歳,15歳から64歳,65歳以上,75歳以上
北海道,5183,544,2953,1686,864
青森,1221,127,676,419,211
岩手,1196,129,659,409,213
宮城,2290,264,1371,655,322
秋田,945,90,495,360,188
山形,1055,117,576,362,188
福島,1812,202,1025,585,289
茨城,2852,328,1664,860,424
栃木,1921,223,1130,569,273
群馬,1927,221,1117,589,299
埼玉,7340,860,4480,2000,1013
千葉,6275,727,3800,1748,892
東京,14010,1553,9255,3202,1701
神奈川,9236,1071,5789,2376,1248
新潟,2177,242,1213,723,371
富山,1025,114,575,337,176
石川,1125,135,652,338,172
福井,760,94,431,236,121
山梨,805,91,463,252,130
長野,2033,240,1136,657,355
岐阜,1961,237,1120,605,312
静岡,3608,429,2079,1099,568
愛知,7517,966,4633,1918,992
三重,1756,209,1016,531,276
滋賀,1411,189,845,376,187
京都,2561,289,1515,758,400
大阪,8806,1018,5346,2442,1296
兵庫,5432,655,3169,1608,835
奈良,1315,152,741,423,219
和歌山,914,104,502,308,163
鳥取,549,67,302,180,92
島根,665,81,355,229,121
岡山,1876,230,1071,575,305
広島,2780,347,1605,827,431
山口,1328,151,712,465,245
徳島,712,77,388,247,125
香川,942,113,526,303,155
愛媛,1321,151,726,444,230
高知,684,74,365,245,131
福岡,5124,661,3017,1445,721
佐賀,806,108,448,251,126
長崎,1297,161,700,435,219
熊本,1728,227,951,551,283
大分,1114,134,605,376,195
宮崎,1061,138,571,351,178
鹿児島,1576,205,850,521,265
沖縄,1468,242,887,339,156
