都道府県,名目県内総生産,県民所得,1人当たり県民所得,実質県内総生産,民間最終消費支出,地方政府等最終消費支出,県内総資本,対前年比増加率
全国,580767,423231,3344,576396,303337,80794,140598,-1.3
北海道,20465,14892,2832,19998,11646,4001,3962,-1
青森,4533,3292,2628,4448,2573,939,1277,0.8
岩手,4848,3409,2781,4790,2785,931,1650,-1.7
宮城,9829,6803,2943,9704,5300,1525,2521,-2.7
秋田,3625,2638,2713,3589,2163,820,1043,1.4
山形,4337,3141,2909,4330,2531,788,990,-0.2
福島,7987,5449,2942,7930,4035,1416,2579,-1.7
茨城,14092,9348,3247,14008,6718,1776,3470,-2.3
栃木,9262,6512,3351,9274,4309,1167,2350,-2.1
群馬,9308,6407,3288,9386,4377,1213,2471,0.3
埼玉,23643,22306,3038,23517,17466,4064,5765,-0.7
千葉,21280,19212,3058,20982,15006,3339,5180,-1.7
東京,115682,80636,5757,113860,43097,7657,22438,-0.5
神奈川,35205,29505,3199,34923,23988,4872,8128,-1.4
新潟,9185,6563,2951,9106,5025,1522,2446,-2.2
富山,4910,3460,3316,4904,2556,703,1333,-0.9
石川,4779,3387,2973,4765,2755,772,1275,-3.4
福井,3695,2565,3325,3692,1679,575,1232,-0.1
山梨,3566,2547,3125,3552,1862,660,1077,-1.6
長野,8454,6025,2924,8439,4718,1415,2368,-2.1
岐阜,7937,6047,3035,7884,4259,1275,2303,-1.5
静岡,17866,12446,3407,18012,8176,2162,4446,-1.7
愛知,40911,27666,3661,41301,18885,4187,10276,-3.5
三重,8086,5328,2989,8237,3734,1200,2067,-5.6
滋賀,6923,4706,3323,7004,3152,845,2001,0.2
京都,10766,7752,2991,10662,6247,1594,2405,0.2
大阪,41188,27015,3055,40673,21250,5737,9572,-1.5
兵庫,22195,16670,3038,22117,13029,3303,5359,-0.2
奈良,3925,3637,2728,3892,3175,881,951,-0.8
和歌山,3745,2781,2986,3695,1949,735,1072,-0.3
鳥取,1893,1360,2439,1870,1194,479,546,-1.7
島根,2689,1999,2951,2662,1576,617,811,1.2
岡山,7842,5299,2794,7829,4189,1278,2199,-1.7
広島,11969,8869,3153,11974,6464,1842,3527,-2.6
山口,6350,4407,3249,6382,2973,1009,1657,-2.1
徳島,3222,2294,3153,3242,1646,758,710,-0.1
香川,4009,2893,3021,3960,2258,692,1015,0.7
愛媛,5148,3658,2717,5077,2911,958,1433,-0.6
高知,2465,1862,2663,2410,1546,656,747,-1
福岡,19942,14573,2838,19741,11692,3313,4809,-1
佐賀,3220,2331,2854,3197,1688,585,895,-0.8
長崎,4790,3524,2655,4741,2729,1099,1290,-1
熊本,6363,4747,2714,6291,3429,1331,1813,0.7
大分,4525,3058,2695,4490,2478,1074,1176,-2.7
宮崎,3704,2613,2426,3650,2278,729,1027,-2.4
鹿児島,5773,4098,2558,5663,3277,1311,1410,-0.5
沖縄,4633,3502,2396,4524,2608,999,1434,0.5
